"created_local_hr","cat_location","indoor_temp","outside_temp","outside_humidity"
"2021-10-30 04:00:00",study,24,18,44
"2021-10-30 05:00:00",dining,24,18,45
"2021-10-30 06:00:00",outside,24,17,48
"2021-10-30 07:00:00",bedroom,23,18,54
"2021-10-30 08:00:00",bedroom,23,20,53
"2021-10-30 09:00:00",dining,23,20,50
"2021-10-30 10:00:00",dining,23,21,46
"2021-10-30 11:00:00",dining,23,23,42
"2021-10-30 12:00:00",winter_garden,23,24,37
"2021-10-30 13:00:00",study,24,24,37
"2021-10-30 14:00:00",study,24,23,38
"2021-10-30 15:00:00",study,24,22,40
"2021-10-30 16:00:00",dining,24,21,42
"2021-10-30 17:00:00",outside,23,20,45
"2021-10-30 18:00:00",outside,23,19,47
"2021-10-30 19:00:00",bedroom,23,18,47
"2021-10-30 20:00:00",bedroom,23,18,48
"2021-10-30 21:00:00",bedroom,23,18,49
"2021-10-30 22:00:00",nicholas,23,18,49
"2021-10-30 23:00:00",nicholas,23,18,51
"2021-10-31 00:00:00",nicholas,22,17,52
"2021-10-31 01:00:00",nicholas,22,17,55
"2021-10-31 02:00:00",nicholas,22,16,58
"2021-10-31 03:00:00",nicholas,21,15,61
"2021-10-31 04:00:00",nicholas,21,14,63
"2021-10-31 05:00:00",nicholas,21,14,65
"2021-10-31 06:00:00",nicholas,21,13,66
"2021-10-31 07:00:00",nicholas,20,14,64
"2021-10-31 08:00:00",nicholas,20,17,57
"2021-10-31 09:00:00",winter_garden,20,19,50
"2021-10-31 10:00:00",winter_garden,21,19,45
"2021-10-31 11:00:00",winter_garden,21,21,42
"2021-10-31 12:00:00",outside,21,22,43
"2021-10-31 13:00:00",outside,21,24,39
"2021-10-31 14:00:00",outside,22,23,40
"2021-10-31 15:00:00",outside,22,22,42
"2021-10-31 16:00:00",winter_garden,21,21,46
"2021-10-31 17:00:00",nicholas,21,21,47
"2021-10-31 18:00:00",bedroom,21,20,51
"2021-10-31 19:00:00",bedroom,21,19,56
"2021-10-31 20:00:00",dining,21,18,58
"2021-10-31 21:00:00",bedroom,21,18,61
"2021-10-31 22:00:00",nicholas,21,17,63
"2021-10-31 23:00:00",nicholas,21,16,67
"2021-11-01 00:00:00",nicholas,21,16,69
"2021-11-01 01:00:00",study,20,16,69
"2021-11-01 02:00:00",nicholas,20,15,70
"2021-11-01 03:00:00",nicholas,20,15,72
"2021-11-01 04:00:00",nicholas,20,14,73
"2021-11-01 05:00:00",nicholas,20,14,75
"2021-11-01 06:00:00",nicholas,19,14,76
"2021-11-01 07:00:00",nicholas,19,15,72
"2021-11-01 08:00:00",dining,19,17,67
"2021-11-01 09:00:00",study,20,19,63
"2021-11-01 10:00:00",study,20,21,53
"2021-11-01 11:00:00",study,21,22,48
"2021-11-01 12:00:00",study,,,
"2021-11-01 13:00:00",lounge,17,24,48
"2021-11-01 14:00:00",winter_garden,21,24,48
"2021-11-01 15:00:00",bedroom,22,23,52
"2021-11-01 16:00:00",outside,22,23,54
"2021-11-01 17:00:00",bedroom,22,22,58
"2021-11-01 18:00:00",bedroom,22,21,61
"2021-11-01 19:00:00",bedroom,22,20,63
"2021-11-01 20:00:00",bedroom,22,20,66
"2021-11-01 21:00:00",bedroom,22,20,69
"2021-11-01 22:00:00",nicholas,22,19,71
"2021-11-01 23:00:00",dining,21,19,71
"2021-11-02 00:00:00",nicholas,21,19,73
"2021-11-02 01:00:00",nicholas,21,18,75
"2021-11-02 02:00:00",nicholas,21,18,76
"2021-11-02 03:00:00",nicholas,21,17,78
"2021-11-02 04:00:00",nicholas,21,16,79
"2021-11-02 05:00:00",nicholas,21,16,79
"2021-11-02 06:00:00",nicholas,20,16,80
"2021-11-02 07:00:00",dining,20,18,77
